lam1,mu1,k1,l1,lam2,mu2,k2,l2,lam3,mu3,k3,l3,rho,coeff
5,0,1,1,0,5,1,1,5,5,1,1,1,-0.92117937
5,0,1,3,0,5,1,3,5,5,1,1,1,0.38297084
5,0,1,5,0,5,1,5,5,5,1,1,1,-0.06900656
5,0,1,1,0,5,1,1,3,3,1,1,1,0.37032804
5,0,1,3,0,5,1,3,3,3,1,1,1,0.80829038
5,0,1,5,0,5,1,5,3,3,1,1,1,-0.45773771
5,0,1,1,0,5,1,1,1,1,1,1,1,-0.11952286
5,0,1,3,0,5,1,3,1,1,1,1,1,-0.4472136
5,0,1,5,0,5,1,5,1,1,1,1,1,-0.88640526
5,0,1,1,0,6,1,0,5,6,1,1,1,0.78285193
5,0,1,1,0,6,1,2,5,6,1,1,1,0.45197977
5,0,1,3,0,6,1,2,5,6,1,1,1,-0.36903994
5,0,1,3,0,6,1,4,5,6,1,1,1,-0.19272482
5,0,1,5,0,6,1,4,5,6,1,1,1,0.09187795
5,0,1,5,0,6,1,6,5,6,1,1,1,0.03289758
5,0,1,1,0,6,1,0,4,5,1,1,1,0.21712406
5,0,1,1,0,6,1,2,4,5,1,1,1,-0.62678317
5,0,1,3,0,6,1,2,4,5,1,1,1,-0.51176632
5,0,1,3,0,6,1,4,4,5,1,1,1,0.48107024
5,0,1,5,0,6,1,4,4,5,1,1,1,0.22934124
5,0,1,5,0,6,1,6,4,5,1,1,1,-0.11861393
5,0,1,1,0,6,1,0,3,4,1,1,1,-0.43424812
5,0,1,1,0,6,1,2,3,4,1,1,1,0
5,0,1,3,0,6,1,2,3,4,1,1,1,-0.51176632
5,0,1,3,0,6,1,4,3,4,1,1,1,-0.51670507
5,0,1,5,0,6,1,4,3,4,1,1,1,0.47567071
5,0,1,5,0,6,1,6,3,4,1,1,1,0.23722786
5,0,1,1,0,6,1,0,2,3,1,1,1,-0.22677868
5,0,1,1,0,6,1,2,2,3,1,1,1,0.52372294
5,0,1,3,0,6,1,2,2,3,1,1,1,0.01781742
5,0,1,3,0,6,1,4,2,3,1,1,1,0.44353081
5,0,1,5,0,6,1,4,2,3,1,1,1,0.52048004
5,0,1,5,0,6,1,6,2,3,1,1,1,-0.45425676
5,0,1,1,0,6,1,0,1,2,1,1,1,0.25354628
5,0,1,1,0,6,1,2,1,2,1,1,1,-0.14638501
5,0,1,3,0,6,1,2,1,2,1,1,1,0.5179324
5,0,1,3,0,6,1,4,1,2,1,1,1,0.07628962
5,0,1,5,0,6,1,4,1,2,1,1,1,0.61828402
5,0,1,5,0,6,1,6,1,2,1,1,1,0.5078745
5,0,1,1,0,6,1,0,0,1,1,1,1,0.18898224
5,0,1,1,0,6,1,2,0,1,1,1,1,-0.32732684
5,0,1,3,0,6,1,2,0,1,1,1,1,0.26726124
5,0,1,3,0,6,1,4,0,1,1,1,1,-0.51176632
5,0,1,5,0,6,1,4,0,1,1,1,1,0.24397502
5,0,1,5,0,6,1,6,0,1,1,1,1,-0.68138514
5,0,1,1,0,7,1,1,5,7,1,1,1,0.90395954
5,0,1,3,0,7,1,3,5,7,1,1,1,-0.4163332
5,0,1,5,0,7,1,5,5,7,1,1,1,0.09759001
5,0,1,1,0,7,1,1,3,5,1,1,1,-0.39641248
5,0,1,3,0,7,1,3,3,5,1,1,1,-0.73029674
5,0,1,5,0,7,1,5,3,5,1,1,1,0.55634864
5,0,1,1,0,7,1,1,1,3,1,1,1,0.16035675
5,0,1,3,0,7,1,3,1,3,1,1,1,0.54160256
5,0,1,5,0,7,1,5,1,3,1,1,1,0.82519839
6,0,1,0,0,5,1,1,6,5,1,1,1,0.78285193
6,0,1,2,0,5,1,1,6,5,1,1,1,0.45197977
6,0,1,2,0,5,1,3,6,5,1,1,1,-0.36903994
6,0,1,4,0,5,1,3,6,5,1,1,1,-0.19272482
6,0,1,4,0,5,1,5,6,5,1,1,1,0.09187795
6,0,1,6,0,5,1,5,6,5,1,1,1,0.03289758
6,0,1,0,0,5,1,1,5,4,1,1,1,0.21712406
6,0,1,2,0,5,1,1,5,4,1,1,1,-0.62678317
6,0,1,2,0,5,1,3,5,4,1,1,1,-0.51176632
6,0,1,4,0,5,1,3,5,4,1,1,1,0.48107024
6,0,1,4,0,5,1,5,5,4,1,1,1,0.22934124
6,0,1,6,0,5,1,5,5,4,1,1,1,-0.11861393
6,0,1,0,0,5,1,1,4,3,1,1,1,-0.43424812
6,0,1,2,0,5,1,1,4,3,1,1,1,0
6,0,1,2,0,5,1,3,4,3,1,1,1,-0.51176632
6,0,1,4,0,5,1,3,4,3,1,1,1,-0.51670507
6,0,1,4,0,5,1,5,4,3,1,1,1,0.47567071
6,0,1,6,0,5,1,5,4,3,1,1,1,0.23722786
6,0,1,0,0,5,1,1,3,2,1,1,1,-0.22677868
6,0,1,2,0,5,1,1,3,2,1,1,1,0.52372294
6,0,1,2,0,5,1,3,3,2,1,1,1,0.01781742
6,0,1,4,0,5,1,3,3,2,1,1,1,0.44353081
6,0,1,4,0,5,1,5,3,2,1,1,1,0.52048004
6,0,1,6,0,5,1,5,3,2,1,1,1,-0.45425676
6,0,1,0,0,5,1,1,2,1,1,1,1,0.25354628
6,0,1,2,0,5,1,1,2,1,1,1,1,-0.14638501
6,0,1,2,0,5,1,3,2,1,1,1,1,0.5179324
6,0,1,4,0,5,1,3,2,1,1,1,1,0.07628962
6,0,1,4,0,5,1,5,2,1,1,1,1,0.61828402
6,0,1,6,0,5,1,5,2,1,1,1,1,0.5078745
6,0,1,0,0,5,1,1,1,0,1,1,1,0.18898224
6,0,1,2,0,5,1,1,1,0,1,1,1,-0.32732684
6,0,1,2,0,5,1,3,1,0,1,1,1,0.26726124
6,0,1,4,0,5,1,3,1,0,1,1,1,-0.51176632
6,0,1,4,0,5,1,5,1,0,1,1,1,0.24397502
6,0,1,6,0,5,1,5,1,0,1,1,1,-0.68138514
6,0,1,2,0,6,1,2,5,5,1,1,1,0.82519839
6,0,1,4,0,6,1,4,5,5,1,1,1,-0.55126772
6,0,1,6,0,6,1,6,5,5,1,1,1,0.12309149
6,0,1,2,0,6,1,2,3,3,1,1,1,-0.52854998
6,0,1,4,0,6,1,4,3,3,1,1,1,-0.67676337
6,0,1,6,0,6,1,6,3,3,1,1,1,0.51247074
6,0,1,2,0,6,1,2,1,1,1,1,1,0.19920477
6,0,1,4,0,6,1,4,1,1,1,1,1,0.48795004
6,0,1,6,0,6,1,6,1,1,1,1,1,0.84983659
6,0,1,0,0,7,1,1,6,7,1,1,1,-0.76398525
6,0,1,2,0,7,1,1,6,7,1,1,1,-0.44108709
6,0,1,2,0,7,1,3,6,7,1,1,1,0.39897829
6,0,1,4,0,7,1,3,6,7,1,1,1,0.20835961
6,0,1,4,0,7,1,5,6,7,1,1,1,-0.12921915
6,0,1,6,0,7,1,5,6,7,1,1,1,-0.04626788
6,0,1,6,0,7,1,7,6,7,1,1,1,0.0182483
6,0,1,0,0,7,1,1,5,6,1,1,1,0.1708323
6,0,1,2,0,7,1,1,5,6,1,1,1,-0.59178043
6,0,1,2,0,7,1,3,5,6,1,1,1,-0.50554746
6,0,1,4,0,7,1,3,5,6,1,1,1,0.49696668
6,0,1,4,0,7,1,5,5,6,1,1,1,0.29857422
6,0,1,6,0,7,1,5,5,6,1,1,1,-0.15863578
6,0,1,6,0,7,1,7,5,6,1,1,1,-0.06120665
6,0,1,0,0,7,1,1,4,5,1,1,1,0.45197977
6,0,1,2,0,7,1,1,4,5,1,1,1,0
6,0,1,2,0,7,1,3,4,5,1,1,1,0.3933979
6,0,1,4,0,7,1,3,4,5,1,1,1,0.49306884
6,0,1,4,0,7,1,5,4,5,1,1,1,-0.53512955
6,0,1,6,0,7,1,5,4,5,1,1,1,-0.29197275
6,0,1,6,0,7,1,7,4,5,1,1,1,0.16193757
6,0,1,0,0,7,1,1,3,4,1,1,1,-0.17728105
6,0,1,2,0,7,1,1,3,4,1,1,1,0.51176632
6,0,1,2,0,7,1,3,3,4,1,1,1,0.15430335
6,0,1,4,0,7,1,3,3,4,1,1,1,0.3438178
6,0,1,4,0,7,1,5,3,4,1,1,1,0.47642851
6,0,1,6,0,7,1,5,3,4,1,1,1,-0.51176632
6,0,1,6,0,7,1,7,3,4,1,1,1,-0.27524094
6,0,1,0,0,7,1,1,2,3,1,1,1,-0.30705979
6,0,1,2,0,7,1,1,2,3,1,1,1,0.17728105
6,0,1,2,0,7,1,3,2,3,1,1,1,-0.51670507
6,0,1,4,0,7,1,3,2,3,1,1,1,-0.11786133
6,0,1,4,0,7,1,5,2,3,1,1,1,-0.32507815
6,0,1,6,0,7,1,5,2,3,1,1,1,-0.51035454
6,0,1,6,0,7,1,7,2,3,1,1,1,0.47673129
6,0,1,0,0,7,1,1,1,2,1,1,1,0.14638501
6,0,1,2,0,7,1,1,1,2,1,1,1,-0.3380617
6,0,1,2,0,7,1,3,1,2,1,1,1,0.09343532
6,0,1,4,0,7,1,3,1,2,1,1,1,-0.52048004
6,0,1,4,0,7,1,5,1,2,1,1,1,-0.13113263
6,0,1,6,0,7,1,5,1,2,1,1,1,-0.56343617
6,0,1,6,0,7,1,7,1,2,1,1,1,-0.5
6,0,1,0,0,7,1,1,0,1,1,1,1,0.18898224
6,0,1,2,0,7,1,1,0,1,1,1,1,-0.21821789
6,0,1,2,0,7,1,3,0,1,1,1,1,0.36187343
6,0,1,4,0,7,1,3,0,1,1,1,1,-0.25197632
6,0,1,4,0,7,1,5,0,1,1,1,1,0.5078745
6,0,1,6,0,7,1,5,0,1,1,1,1,-0.21821789
6,0,1,6,0,7,1,7,0,1,1,1,1,0.64549722
7,0,1,1,0,5,1,1,7,5,1,1,1,-0.90395954
7,0,1,3,0,5,1,3,7,5,1,1,1,0.4163332
7,0,1,5,0,5,1,5,7,5,1,1,1,-0.09759001
7,0,1,1,0,5,1,1,5,3,1,1,1,0.39641248
7,0,1,3,0,5,1,3,5,3,1,1,1,0.73029674
7,0,1,5,0,5,1,5,5,3,1,1,1,-0.55634864
7,0,1,1,0,5,1,1,3,1,1,1,1,-0.16035675
