lam1,mu1,lam2,mu2,rho,lam,mu
5,0,0,5,1,5,5
5,0,0,5,1,4,4
5,0,0,5,1,3,3
5,0,0,5,1,2,2
5,0,0,5,1,1,1
5,0,0,5,1,0,0
5,0,0,6,1,5,6
5,0,0,6,1,4,5
5,0,0,6,1,3,4
5,0,0,6,1,2,3
5,0,0,6,1,1,2
5,0,0,6,1,0,1
5,0,0,7,1,5,7
5,0,0,7,1,4,6
5,0,0,7,1,3,5
5,0,0,7,1,2,4
5,0,0,7,1,1,3
5,0,0,7,1,0,2
6,0,0,5,1,6,5
6,0,0,5,1,5,4
6,0,0,5,1,4,3
6,0,0,5,1,3,2
6,0,0,5,1,2,1
6,0,0,5,1,1,0
6,0,0,6,1,6,6
6,0,0,6,1,5,5
6,0,0,6,1,4,4
6,0,0,6,1,3,3
6,0,0,6,1,2,2
6,0,0,6,1,1,1
6,0,0,6,1,0,0
6,0,0,7,1,6,7
6,0,0,7,1,5,6
6,0,0,7,1,4,5
6,0,0,7,1,3,4
6,0,0,7,1,2,3
6,0,0,7,1,1,2
6,0,0,7,1,0,1
7,0,0,5,1,7,5
7,0,0,5,1,6,4
7,0,0,5,1,5,3
7,0,0,5,1,4,2
7,0,0,5,1,3,1
7,0,0,5,1,2,0
7,0,0,6,1,7,6
7,0,0,6,1,6,5
7,0,0,6,1,5,4
7,0,0,6,1,4,3
7,0,0,6,1,3,2
7,0,0,6,1,2,1
7,0,0,6,1,1,0
7,0,0,7,1,7,7
7,0,0,7,1,6,6
7,0,0,7,1,5,5
7,0,0,7,1,4,4
7,0,0,7,1,3,3
7,0,0,7,1,2,2
7,0,0,7,1,1,1
7,0,0,7,1,0,0
