,k1,L1,k2,L2,k3,L3,rho1
0,1,1,1,1,1,0,0.52991353
1,1,1,1,1,1,2,-0.32752265
2,1,1,1,1,2,2,-0.0
3,1,2,1,1,1,2,-0.00075434
4,1,2,1,1,2,2,-0.41573237
5,1,2,1,1,1,3,-0.24279579
6,1,3,1,1,1,2,0.41586651
7,2,3,1,1,1,2,-0.00061394
8,1,3,1,1,2,2,-0.0
9,2,3,1,1,2,2,0.30039852
10,1,3,1,1,1,3,0.0
11,2,3,1,1,1,3,-0.29356489
12,1,3,1,1,1,4,-0.33919876
13,2,3,1,1,1,4,-0.0010586
14,1,3,1,1,2,4,-0.0
15,2,3,1,1,2,4,-0.28468632
16,1,3,1,1,3,4,0.0
17,2,3,1,1,3,4,-0.0
18,1,4,1,1,1,3,0.34261947
19,2,4,1,1,1,3,-0.00059547
20,1,4,1,1,1,4,-0.0015977
21,2,4,1,1,1,4,-8.8e-07
22,1,4,1,1,2,4,-0.22697494
23,2,4,1,1,2,4,-0.00067684
24,1,4,1,1,3,4,0.0
25,2,4,1,1,3,4,-0.40714684
26,1,4,1,1,1,5,-0.30180133
27,2,4,1,1,1,5,-0.00039234
28,1,4,1,1,2,5,-0.0
29,2,4,1,1,2,5,-0.17721054
30,1,5,1,1,1,4,0.40470057
31,2,5,1,1,1,4,-0.00045946
32,3,5,1,1,1,4,-1.5e-06
33,1,5,1,1,2,4,-0.0
34,2,5,1,1,2,4,0.35946149
35,3,5,1,1,2,4,-0.00067291
36,1,5,1,1,3,4,-0.0
37,2,5,1,1,3,4,-0.0
38,3,5,1,1,3,4,0.21104904
39,1,5,1,1,1,5,0.0
40,2,5,1,1,1,5,-0.18490485
41,3,5,1,1,1,5,-0.00108424
42,1,5,1,1,2,5,0.0
43,2,5,1,1,2,5,0.0
44,3,5,1,1,2,5,-0.33167391
45,1,5,1,1,1,6,-0.33897505
46,2,5,1,1,1,6,-0.00221771
47,3,5,1,1,1,6,-1.56e-06
48,1,5,1,1,2,6,-0.0
49,2,5,1,1,2,6,-0.30970932
50,3,5,1,1,2,6,-0.00074093
51,1,5,1,1,3,6,-0.0
52,2,5,1,1,3,6,-0.0
53,3,5,1,1,3,6,-0.21962113
54,1,5,1,1,4,6,0.0
55,2,5,1,1,4,6,0.0
56,3,5,1,1,4,6,-0.0
57,1,6,1,1,1,5,0.36821841
58,2,6,1,1,1,5,-0.00064107
59,3,6,1,1,1,5,-6.7e-07
60,1,6,1,1,2,5,-0.0
61,2,6,1,1,2,5,0.26107451
62,3,6,1,1,2,5,-0.00053994
63,1,6,1,1,1,6,-0.00237584
64,2,6,1,1,1,6,-4.07e-06
65,3,6,1,1,1,6,-0.0
66,1,6,1,1,2,6,-0.15583158
67,2,6,1,1,2,6,-0.00144711
68,3,6,1,1,2,6,-7.1e-07
69,1,6,1,1,3,6,0.0
70,2,6,1,1,3,6,-0.2795447
71,3,6,1,1,3,6,-0.00056892
72,1,6,1,1,4,6,0.0
73,2,6,1,1,4,6,0.0
74,3,6,1,1,4,6,-0.32173108
75,1,6,1,1,1,7,-0.31325794
76,2,6,1,1,1,7,-0.00112348
77,3,6,1,1,1,7,-4e-07
78,1,6,1,1,2,7,-0.0
79,2,6,1,1,2,7,-0.2406101
80,3,6,1,1,2,7,-0.00028164
81,1,6,1,1,3,7,-0.0
82,2,6,1,1,3,7,-0.0
83,3,6,1,1,3,7,-0.115887
84,1,7,1,1,1,6,0.40222088
85,2,7,1,1,1,6,4.18e-05
86,3,7,1,1,1,6,-4.18e-06
87,4,7,1,1,1,6,-0.0
88,1,7,1,1,2,6,-0.0
89,2,7,1,1,2,6,0.3735464
90,3,7,1,1,2,6,-0.00053792
91,4,7,1,1,2,6,-1.42e-06
92,1,7,1,1,3,6,0.0
93,2,7,1,1,3,6,-0.0
94,3,7,1,1,3,6,0.28689102
95,4,7,1,1,3,6,-0.00062632
96,1,7,1,1,4,6,-0.0
97,2,7,1,1,4,6,0.0
98,3,7,1,1,4,6,-0.0
99,4,7,1,1,4,6,0.13814508
100,1,7,1,1,1,7,0.0
101,2,7,1,1,1,7,-0.13453502
102,3,7,1,1,1,7,-0.00178606
103,4,7,1,1,1,7,-1.66e-06
104,1,7,1,1,2,7,-0.0
105,2,7,1,1,2,7,0.0
106,3,7,1,1,2,7,-0.24131386
107,4,7,1,1,2,7,-0.00092649
108,1,7,1,1,3,7,0.0
109,2,7,1,1,3,7,-0.0
110,3,7,1,1,3,7,0.0
111,4,7,1,1,3,7,-0.27773648
112,1,7,1,1,1,8,-0.33502239
113,2,7,1,1,1,8,-0.00362166
114,3,7,1,1,1,8,-5.3e-06
115,4,7,1,1,1,8,-0.0
116,1,7,1,1,2,8,-0.0
117,2,7,1,1,2,8,-0.31431991
118,3,7,1,1,2,8,-0.00153991
119,4,7,1,1,2,8,-1e-06
120,1,7,1,1,3,8,0.0
121,2,7,1,1,3,8,-0.0
122,3,7,1,1,3,8,-0.25219279
123,4,7,1,1,3,8,-0.00053764
124,1,7,1,1,4,8,0.0
125,2,7,1,1,4,8,0.0
126,3,7,1,1,4,8,-0.0
127,4,7,1,1,4,8,-0.14781347
128,1,7,1,1,5,8,-0.0
129,2,7,1,1,5,8,-0.0
130,3,7,1,1,5,8,-0.0
131,4,7,1,1,5,8,-0.0
132,1,8,1,1,1,7,0.37715083
133,2,8,1,1,1,7,-0.00037567
134,3,8,1,1,1,7,-2.35e-06
135,1,8,1,1,2,7,-0.0
136,2,8,1,1,2,7,0.30253514
137,3,8,1,1,2,7,-0.00061325
138,1,8,1,1,3,7,-0.0
139,2,8,1,1,3,7,-0.0
140,3,8,1,1,3,7,0.17727205
141,1,8,1,1,1,8,-0.00313228
142,2,8,1,1,1,8,-1.031e-05
143,3,8,1,1,1,8,-0.0
144,1,8,1,1,2,8,-0.11818441
145,2,8,1,1,2,8,-0.0021099
146,3,8,1,1,2,8,-3.01e-06
147,1,8,1,1,3,8,0.0
148,2,8,1,1,3,8,-0.21203365
149,3,8,1,1,3,8,-0.00124622
150,1,8,1,1,4,8,0.0
151,2,8,1,1,4,8,0.0
152,3,8,1,1,4,8,-0.2440426
153,1,8,1,1,5,8,0.0
154,2,8,1,1,5,8,0.0
155,3,8,1,1,5,8,0.0
156,1,8,1,1,1,9,-0.3139687
157,2,8,1,1,1,9,-0.00198842
158,3,8,1,1,1,9,-1.92e-06
159,1,8,1,1,2,9,-0.0
160,2,8,1,1,2,9,-0.25873267
161,3,8,1,1,2,9,-0.00081892
162,1,8,1,1,3,9,-0.0
163,2,8,1,1,3,9,-0.0
164,3,8,1,1,3,9,-0.16521209
165,1,8,1,1,4,9,-0.0
166,2,8,1,1,4,9,-0.0
167,3,8,1,1,4,9,-0.0
168,1,9,1,1,1,8,0.40191355
169,2,9,1,1,1,8,0.00088897
170,3,9,1,1,1,8,-8.29e-06
171,4,9,1,1,1,8,-0.0
172,1,9,1,1,2,8,-0.0
173,2,9,1,1,2,8,0.37973721
174,3,9,1,1,2,8,-0.00015886
175,4,9,1,1,2,8,-3.47e-06
176,1,9,1,1,3,8,-0.0
177,2,9,1,1,3,8,-0.0
178,3,9,1,1,3,8,0.31291563
179,4,9,1,1,3,8,-0.00053863
180,1,9,1,1,4,8,0.0
181,2,9,1,1,4,8,-0.0
182,3,9,1,1,4,8,-0.0
183,4,9,1,1,4,8,0.19974986
184,1,9,1,1,5,8,-0.0
185,2,9,1,1,5,8,-0.0
186,3,9,1,1,5,8,-0.0
187,4,9,1,1,5,8,-0.0
188,1,9,1,1,1,9,0.0
