,k1,L1,k2,L2,k3,L3,rho1
0,1,1,1,2,1,2,0.0
1,1,2,1,0,1,2,0.41658214
2,1,2,1,2,1,2,0.40654254
3,1,2,1,4,1,2,0.05481819
4,1,3,1,2,1,2,-0.0037184
5,2,3,1,2,1,2,-0.50914722
6,1,3,1,4,1,2,-0.00141814
7,2,3,1,4,1,2,-0.19418113
8,1,4,1,2,1,2,0.30978573
9,1,4,1,4,1,2,0.32060569
10,1,4,1,6,1,2,0.03696758
11,1,5,1,4,1,2,-0.00602382
12,2,5,1,4,1,2,-0.30795807
13,1,5,1,6,1,2,-0.00178606
14,2,5,1,6,1,2,-0.09130948
15,1,6,1,4,1,2,0.16623999
16,1,6,1,6,1,2,0.12566562
17,1,7,1,6,1,2,-0.0040673
18,2,7,1,6,1,2,-0.10761065
19,1,8,1,6,1,2,0.05351034
