,k1,L1,k2,L2,k3,L3,rho1,rho2
0,1,1,1,1,1,0,-0.16572531,0.01168024
1,1,1,1,1,1,2,0.12240389,-0.00934682
2,1,1,1,1,2,2,-0.00655025,0.00659463
3,1,2,1,1,1,2,-0.00619928,0.01034969
4,1,2,1,1,2,2,0.1384726,-0.00753265
5,1,2,1,1,1,3,0.0956867,-0.01042874
6,1,3,1,1,1,2,-0.11315013,0.00736542
7,2,3,1,1,1,2,-0.00915495,0.0149724
8,1,3,1,1,2,2,-0.00554472,0.00558228
9,2,3,1,1,2,2,-0.08171055,0.00896257
10,1,3,1,1,1,3,0.01354646,-0.01363823
11,2,3,1,1,1,3,0.09774317,9.146e-05
12,1,3,1,1,1,4,0.14048657,-0.01107658
13,2,3,1,1,1,4,-0.00526369,0.00910217
14,1,3,1,1,2,4,-0.01313676,0.01322576
15,2,3,1,1,2,4,0.11799342,-0.01287269
16,1,3,1,1,3,4,0.0,-0.0
17,2,3,1,1,3,4,-0.01134412,0.00461661
18,1,4,1,1,1,3,-0.08624341,0.00949393
19,2,4,1,1,1,3,-0.00543387,0.01230351
20,1,4,1,1,1,4,-0.01310742,0.02195258
21,2,4,1,1,1,4,-2.04e-06,1.925e-05
22,1,4,1,1,2,4,0.07562486,0.00557016
23,2,4,1,1,2,4,-0.00347367,0.00813908
24,1,4,1,1,3,4,0.00904445,-0.00368073
25,2,4,1,1,3,4,0.1355972,-0.00488695
26,1,4,1,1,1,5,0.1311373,-0.01424442
27,2,4,1,1,1,5,-0.00123457,0.00304847
28,1,4,1,1,2,5,-0.01574638,0.00640815
29,2,4,1,1,2,5,0.0770759,-0.01488088
30,1,5,1,1,1,4,-0.09372665,0.00548415
31,2,5,1,1,1,4,-0.01429389,0.02316029
32,3,5,1,1,1,4,-4.44e-06,4.003e-05
33,1,5,1,1,2,4,-0.01253886,0.0126238
34,2,5,1,1,2,4,-0.08308924,0.00908899
35,3,5,1,1,2,4,-0.00751424,0.01692598
36,1,5,1,1,3,4,0.0,0.0
37,2,5,1,1,3,4,-0.0040925,0.00166549
38,3,5,1,1,3,4,-0.0488179,0.01310772
39,1,5,1,1,1,5,0.02257469,-0.02272763
40,2,5,1,1,1,5,0.06149641,0.01032297
41,3,5,1,1,1,5,-0.00555678,0.01305412
42,1,5,1,1,2,5,0.0,-0.0
43,2,5,1,1,2,5,0.01447102,-0.00588913
44,3,5,1,1,2,5,0.11042487,0.0061505
45,1,5,1,1,1,6,0.15398815,-0.01234839
46,2,5,1,1,1,6,-0.0090414,0.01600698
47,3,5,1,1,1,6,-2.73e-06,2.767e-05
48,1,5,1,1,2,6,-0.01890592,0.019034
49,2,5,1,1,2,6,0.14093946,-0.01540282
50,3,5,1,1,2,6,-0.00214085,0.00536513
51,1,5,1,1,3,6,-0.0,0.0
52,2,5,1,1,3,6,-0.01916425,0.00779909
53,3,5,1,1,3,6,0.09995545,-0.0189459
54,1,5,1,1,4,6,0.0,0.0
55,2,5,1,1,4,6,-0.0,0.0
56,3,5,1,1,4,6,-0.01832844,-0.0035347
57,1,6,1,1,1,5,-0.07774466,0.0086148
58,2,6,1,1,1,5,-0.00918106,0.02059044
59,3,6,1,1,1,5,-1.79e-06,1.685e-05
60,1,6,1,1,2,5,-0.00720437,0.0029319
61,2,6,1,1,2,5,-0.05505718,0.01563735
62,3,6,1,1,2,5,-0.00398271,0.01146363
63,1,6,1,1,1,6,-0.01943771,0.03271902
64,2,6,1,1,1,6,-9.44e-06,8.921e-05
65,3,6,1,1,1,6,-0.0,1e-08
66,1,6,1,1,2,6,0.05206254,0.01422351
67,2,6,1,1,2,6,-0.00740429,0.01744806
68,3,6,1,1,2,6,-1.42e-06,1.423e-05
69,1,6,1,1,3,6,0.01928515,-0.0078483
70,2,6,1,1,3,6,0.09304833,0.01544928
71,3,6,1,1,3,6,-0.0020037,0.00611595
72,1,6,1,1,4,6,0.0,-0.0
73,2,6,1,1,4,6,0.01166467,0.00224957
74,3,6,1,1,4,6,0.10713842,-0.00190875
75,1,6,1,1,1,7,0.14868458,-0.01607835
76,2,6,1,1,1,7,-0.00298803,0.00761043
77,3,6,1,1,1,7,-5.6e-07,6.25e-06
78,1,6,1,1,2,7,-0.02213219,0.00900693
79,2,6,1,1,2,7,0.11435235,-0.02131889
80,3,6,1,1,2,7,-0.00055232,0.00185406
81,1,6,1,1,3,7,-0.0,0.0
82,2,6,1,1,3,7,-0.02520958,-0.00486175
83,3,6,1,1,3,7,0.05515257,-0.01728825
84,1,7,1,1,1,6,-0.07699479,0.00390566
85,2,7,1,1,1,6,-0.01940216,0.03123007
86,3,7,1,1,1,6,-1.375e-05,0.00012232
87,4,7,1,1,1,6,-0.0,3e-08
88,1,7,1,1,2,6,-0.01922861,0.01935888
89,2,7,1,1,2,6,-0.07104743,0.0076728
90,3,7,1,1,2,6,-0.01068835,0.0238835
91,4,7,1,1,2,6,-3.94e-06,3.687e-05
92,1,7,1,1,3,6,-0.0,0.0
93,2,7,1,1,3,6,-0.01027305,0.00418073
94,3,7,1,1,3,6,-0.05464486,0.01654105
95,4,7,1,1,3,6,-0.00553101,0.01585004
