,k1,L1,k2,L2,k3,L3,rho1,rho2,rho3
0,1,1,1,1,1,0,-0.26450587,0.00824205,-0.19595992
1,1,1,1,1,1,2,0.15554913,-0.00427771,0.11564247
2,1,1,1,1,2,2,0.00230259,-0.00492143,-0.00173145
3,1,2,1,1,1,2,0.0024415,-0.00762773,0.00197453
4,1,2,1,1,2,2,0.20402532,-0.01056291,0.10115845
5,1,2,1,1,1,3,0.11299503,-0.00692072,0.05665285
6,1,3,1,1,1,2,-0.21191377,0.00677123,-0.15758215
7,2,3,1,1,1,2,0.00251801,-0.0092882,0.00252869
8,1,3,1,1,2,2,0.00116822,-0.00309893,-0.00126045
9,2,3,1,1,2,2,-0.15333407,0.01008186,-0.07657752
10,1,3,1,1,1,3,-0.00399881,0.00913519,0.00338025
11,2,3,1,1,1,3,0.14340526,-0.00558947,0.07082455
12,1,3,1,1,1,4,0.15370394,-0.00360958,0.11528246
13,2,3,1,1,1,4,0.00295484,-0.00816349,0.00201389
14,1,3,1,1,2,4,0.00535797,-0.0108813,-0.00366697
15,2,3,1,1,2,4,0.12920849,-0.00766807,0.0651274
16,1,3,1,1,3,4,-0.0,0.0,0.0
17,2,3,1,1,3,4,0.00433286,-0.00346083,-0.00505991
18,1,4,1,1,1,3,-0.17607887,0.01155124,-0.08825008
19,2,4,1,1,1,3,0.00161458,-0.00796204,0.00622967
20,1,4,1,1,1,4,0.00515526,-0.01610482,0.00416824
21,2,4,1,1,1,4,1.86e-06,-1.798e-05,2.543e-05
22,1,4,1,1,2,4,0.11016427,-0.00234277,0.05415931
23,2,4,1,1,2,4,0.00161492,-0.00656063,0.00448275
24,1,4,1,1,3,4,-0.00243548,0.00218392,0.00349333
25,2,4,1,1,3,4,0.19866375,-0.02493403,-0.04823426
26,1,4,1,1,1,5,0.13319208,-0.00767003,0.0675512
27,2,4,1,1,1,5,0.00086096,-0.00311213,0.00189494
28,1,4,1,1,2,5,0.00645782,-0.00505427,-0.00725888
29,2,4,1,1,2,5,0.07862717,-0.01325257,-0.01869987
30,1,5,1,1,1,4,-0.20857745,0.00654908,-0.15640817
31,2,5,1,1,1,4,0.00283061,-0.01255179,0.00356978
32,3,5,1,1,1,4,3.03e-06,-2.93e-05,4.623e-05
33,1,5,1,1,2,4,0.00193545,-0.00604277,-0.00266476
34,2,5,1,1,2,4,-0.18559163,0.01215982,-0.09342373
35,3,5,1,1,2,4,0.0019274,-0.01026114,0.00838203
36,1,5,1,1,3,4,-0.0,0.0,0.0
37,2,5,1,1,3,4,0.00052565,-0.00066279,-0.00127478
38,3,5,1,1,3,4,-0.10949669,0.01814641,0.02588393
39,1,5,1,1,1,5,-0.00666388,0.01522346,0.00563306
40,2,5,1,1,1,5,0.08906968,-1.843e-05,0.0434729
41,3,5,1,1,1,5,0.00258011,-0.01048434,0.00717097
42,1,5,1,1,2,5,0.0,-0.0,0.0
43,2,5,1,1,2,5,-0.00389673,0.00349425,0.00558929
44,3,5,1,1,2,5,0.16057405,-0.01675276,-0.03978961
45,1,5,1,1,1,6,0.14472601,-0.00264989,0.11014454
46,2,5,1,1,1,6,0.00587594,-0.01563105,0.00378586
47,3,5,1,1,1,6,3.36e-06,-3.287e-05,4.278e-05
48,1,5,1,1,2,6,0.00877604,-0.01711522,-0.00555724
49,2,5,1,1,2,6,0.13237529,-0.00719155,0.06774598
50,3,5,1,1,2,6,0.00159999,-0.00570371,0.00341565
51,1,5,1,1,3,6,-0.0,0.0,-0.0
52,2,5,1,1,3,6,0.00839934,-0.00645611,-0.00912097
53,3,5,1,1,3,6,0.09442411,-0.01593147,-0.02266436
54,1,5,1,1,4,6,0.0,-0.0,0.0
55,2,5,1,1,4,6,-0.0,0.0,-0.0
56,3,5,1,1,4,6,0.00755806,0.00291876,-0.00490219
57,1,6,1,1,1,5,-0.19053893,0.0123354,-0.0964995
