,k1,L1,k2,L2,k3,L3,rho1,rho2,rho3,rho4
0,1,1,1,1,1,0,0.12787981,-0.00697302,0.07005981,-0.00864067
1,1,1,1,1,1,2,-0.09826848,0.00598585,-0.05377784,0.00718976
2,1,1,1,1,2,2,0.00600998,-0.00567366,0.00278821,-0.00509102
3,1,2,1,1,1,2,0.00548941,-0.00938991,-8.242e-05,-0.0074161
4,1,2,1,1,2,2,-0.1082726,0.00779582,-0.04012217,0.00112402
5,1,2,1,1,1,3,-0.07745286,0.00846821,-0.0284088,0.00847243
6,1,3,1,1,1,2,0.08293164,-0.00384474,0.0458049,-0.00517895
7,2,3,1,1,1,2,0.00845869,-0.01435998,7.354e-05,-0.01073565
8,1,3,1,1,2,2,0.00545438,-0.00529137,0.00231616,-0.00429982
9,2,3,1,1,2,2,0.06007887,-0.00638649,0.02206794,-0.00817912
10,1,3,1,1,1,3,-0.01278778,0.01224564,-0.00568526,0.01048152
11,2,3,1,1,1,3,-0.07588427,0.00263514,-0.02859848,-0.00757037
12,1,3,1,1,1,4,-0.11371873,0.00705656,-0.06255646,0.00862285
13,2,3,1,1,1,4,0.00426357,-0.00741201,-0.00028187,-0.00649157
14,1,3,1,1,2,4,0.01153751,-0.01072353,0.00561639,-0.01019642
15,2,3,1,1,2,4,-0.09574721,0.0104128,-0.03519594,0.01030369
16,1,3,1,1,3,4,0.0,-4.368e-05,2.094e-05,1.589e-05
17,2,3,1,1,3,4,0.01073467,-0.00376317,0.00621019,0.00238533
18,1,4,1,1,1,3,0.0611518,-0.00636665,0.02252661,-0.00888192
19,2,4,1,1,1,3,0.00473145,-0.01214472,-0.00340778,0.00095393
20,1,4,1,1,1,4,0.01152623,-0.01980523,-0.0001797,-0.01570796
21,2,4,1,1,1,4,1.1e-07,-4.887e-05,4.646e-05,6.31e-06
22,1,4,1,1,2,4,-0.0581706,-0.00093302,-0.022294,-0.01439502
23,2,4,1,1,2,4,0.00281979,-0.00741966,-0.00242536,0.00066113
24,1,4,1,1,3,4,-0.00909526,0.00331155,-0.00473172,-0.00192762
25,2,4,1,1,3,4,-0.10516983,0.01492677,0.01799982,-0.00562197
26,1,4,1,1,1,5,-0.10636294,0.01153894,-0.03935936,0.01124816
27,2,4,1,1,1,5,0.00086889,-0.00239384,-0.0010417,0.00027381
28,1,4,1,1,2,5,0.014559,-0.00503723,0.00869545,0.00328931
29,2,4,1,1,2,5,-0.06296906,0.01530721,0.01050242,0.00400853
30,1,5,1,1,1,4,0.0632368,-0.00212964,0.03551748,-0.00351885
31,2,5,1,1,1,4,0.0134019,-0.02274118,0.00026142,-0.01657638
32,3,5,1,1,1,4,9e-07,-0.0001054,9.9e-05,1.269e-05
33,1,5,1,1,2,4,0.01250628,-0.01222464,0.00518155,-0.00969299
34,2,5,1,1,2,4,0.0562267,-0.00573169,0.02097511,-0.00875647
35,3,5,1,1,2,4,0.00659681,-0.01690538,-0.00457932,0.00128801
36,1,5,1,1,3,4,-0.0,-4.169e-05,1.999e-05,1.517e-05
37,2,5,1,1,3,4,0.004335,-0.00161697,0.00208853,0.00088394
38,3,5,1,1,3,4,0.03342876,-0.01033402,-0.00576804,-0.00608158
39,1,5,1,1,1,5,-0.02112489,0.02028158,-0.00936073,0.01734733
40,2,5,1,1,1,5,-0.04672573,-0.00367501,-0.01859381,-0.02053957
41,3,5,1,1,1,5,0.00448708,-0.01185311,-0.0038499,0.00104848
42,1,5,1,1,2,5,0.0,0.00014741,-7.068e-05,-5.363e-05
43,2,5,1,1,2,5,-0.01448626,0.00527291,-0.00752325,-0.00307522
44,3,5,1,1,2,5,-0.08462927,0.00680207,0.01473676,-0.01109933
45,1,5,1,1,1,6,-0.12421629,0.00757989,-0.06897877,0.00965724
46,2,5,1,1,1,6,0.00684354,-0.01207498,-0.00072194,-0.01135972
47,3,5,1,1,1,6,-6.1e-07,-6.57e-05,6.374e-05,9.53e-06
48,1,5,1,1,2,6,0.01572407,-0.0143332,0.00810463,-0.01463515
49,2,5,1,1,2,6,-0.11395255,0.01219449,-0.04220761,0.01200861
50,3,5,1,1,2,6,0.0014398,-0.00403403,-0.00187777,0.00048894
51,1,5,1,1,3,6,0.0,-0.00019522,9.36e-05,7.102e-05
52,2,5,1,1,3,6,0.01726862,-0.00588418,0.01067614,0.00397354
53,3,5,1,1,3,6,-0.08138731,0.01958292,0.01367001,0.00486196
54,1,5,1,1,4,6,-0.0,0.0,-0.0,0.0
55,2,5,1,1,4,6,-0.0,-8.896e-05,-2.763e-05,2.378e-05
56,3,5,1,1,4,6,0.01778719,0.00255393,0.00500437,0.01331767
57,1,6,1,1,1,5,0.04960756,-0.00480932,0.01849224,-0.008533
58,2,6,1,1,1,5,0.00810672,-0.02076356,-0.0054397,0.0015373
59,3,6,1,1,1,5,3e-07,-4.256e-05,5.247e-05,3.566e-05
60,1,6,1,1,2,5,0.00765593,-0.00286329,0.00365193,0.00155551
61,2,6,1,1,2,5,0.03555999,-0.01163459,-0.0062775,-0.00766834
62,3,6,1,1,2,5,0.00327747,-0.01179197,-0.00543531,0.01746837
63,1,6,1,1,1,6,0.01690571,-0.02925835,-0.00027835,-0.02335868
64,2,6,1,1,1,6,4.4e-07,-0.00022498,0.00021508,2.879e-05
65,3,6,1,1,1,6,-0.0,-3e-08,2.5e-07,-3e-08
66,1,6,1,1,2,6,-0.03903588,-0.00615289,-0.01570117,-0.02593979
67,2,6,1,1,2,6,0.00594116,-0.01576469,-0.00508418,0.0013816
68,3,6,1,1,2,6,-4e-08,-3.409e-05,4.298e-05,3.034e-05
69,1,6,1,1,3,6,-0.01919983,0.00698976,-0.0099516,-0.00408519
70,2,6,1,1,3,6,-0.07028998,0.00037821,0.01248048,-0.01593269
71,3,6,1,1,3,6,0.00146352,-0.00558462,-0.00309036,0.00937735
72,1,6,1,1,4,6,0.0,8.952e-05,2.78e-05,-2.393e-05
73,2,6,1,1,4,6,-0.01237449,-0.0018163,-0.00287354,-0.00848485
74,3,6,1,1,4,6,-0.08210275,0.02212048,0.09000767,-0.00652818
75,1,6,1,1,1,7,-0.11951429,0.01279427,-0.0448281,0.01239177
76,2,6,1,1,1,7,0.00190723,-0.00545361,-0.00272686,0.00070428
77,3,6,1,1,1,7,-2.3e-07,-1.369e-05,1.776e-05,1.354e-05
78,1,6,1,1,2,7,0.01938228,-0.00649356,0.0124416,0.00455265
79,2,6,1,1,2,7,-0.09255525,0.02206907,0.01567851,0.00522521
80,3,6,1,1,2,7,0.00029669,-0.00131272,-0.00109973,0.00287571
81,1,6,1,1,3,7,-0.0,-0.00019348,-6.009e-05,5.172e-05
82,2,6,1,1,3,7,0.02384372,0.00343432,0.00699005,0.01824156
83,3,6,1,1,3,7,-0.0451669,0.02045642,0.04692075,-0.01810916
84,1,7,1,1,1,6,0.04531084,-0.00060533,0.02626675,-0.00207974
85,2,7,1,1,1,6,0.01830241,-0.03112206,0.00049946,-0.02227745
86,3,7,1,1,1,6,3.32e-06,-0.00032376,0.00030426,3.78e-05
87,4,7,1,1,1,6,-0.0,-9e-08,6.7e-07,-8e-08
88,1,7,1,1,2,6,0.01930153,-0.01898405,0.00784599,-0.01479777
89,2,7,1,1,2,6,0.04183474,-0.00391402,0.01617212,-0.00792344
90,3,7,1,1,2,6,0.00946998,-0.02426051,-0.00616364,0.00174744
91,4,7,1,1,2,6,7.5e-07,-9.342e-05,0.00011522,7.762e-05
92,1,7,1,1,3,6,0.0,-0.00019855,9.519e-05,7.224e-05
93,2,7,1,1,3,6,0.01093336,-0.00409361,0.00517185,0.00221451
94,3,7,1,1,3,6,0.03268428,-0.01150242,-0.0059574,-0.00857234
95,4,7,1,1,3,6,0.00457651,-0.01644422,-0.00734975,0.02406098
96,1,7,1,1,4,6,-0.0,0.0,-0.0,0.0
97,2,7,1,1,4,6,-0.0,-4.769e-05,-1.481e-05,1.275e-05
98,3,7,1,1,4,6,0.00489627,0.00071587,0.00103915,0.00320941
99,4,7,1,1,4,6,0.01613822,-0.01241399,-0.01612416,0.01427456
100,1,7,1,1,1,7,-0.02879257,0.02775115,-0.0126972,0.02370778
101,2,7,1,1,1,7,-0.03286315,-0.00809832,-0.01432261,-0.03147453
102,3,7,1,1,1,7,0.00726357,-0.01938415,-0.006192,0.00168165
103,4,7,1,1,1,7,-1.1e-07,-7.905e-05,0.0001001,7.032e-05
104,1,7,1,1,2,7,0.0,0.00045927,-0.0002202,-0.00016709
105,2,7,1,1,2,7,-0.02350581,0.00855101,-0.01215089,-0.00501194
106,3,7,1,1,2,7,-0.059654,-0.00499012,0.01081659,-0.02035909
107,4,7,1,1,2,7,0.00235946,-0.00906043,-0.00495512,0.01525437
108,1,7,1,1,3,7,0.0,0.0,0.0,-0.0
109,2,7,1,1,3,7,0.0,0.00020773,6.451e-05,-5.554e-05
110,3,7,1,1,3,7,-0.01999521,-0.00296075,-0.00463316,-0.01372541
111,4,7,1,1,3,7,-0.06963746,0.01291873,0.07878538,0.00457418
112,1,7,1,1,1,8,-0.13162354,0.00763013,-0.07409203,0.01039104
113,2,7,1,1,1,8,0.00855763,-0.01540731,-0.00136779,-0.01583065
114,3,7,1,1,1,8,-2.93e-06,-0.00020176,0.00019837,3.049e-05
115,4,7,1,1,1,8,-0.0,-5e-08,4.6e-07,-5e-08
116,1,7,1,1,2,8,0.01887795,-0.01678883,0.01041551,-0.01871159
117,2,7,1,1,2,8,-0.12417838,0.01293276,-0.04644723,0.01304547
118,3,7,1,1,2,8,0.00226997,-0.00664254,-0.00359567,0.00091828
119,4,7,1,1,2,8,-6.5e-07,-3.255e-05,4.263e-05,3.283e-05
120,1,7,1,1,3,8,0.0,-0.00047998,0.00023012,0.00017462
121,2,7,1,1,3,8,0.02107396,-0.00691602,0.01408505,0.00506116
122,3,7,1,1,3,8,-0.10025064,0.02371221,0.01715267,0.00538798
123,4,7,1,1,3,8,0.00048108,-0.00223022,-0.00201269,0.00518075
124,1,7,1,1,4,8,-0.0,0.0,-0.0,0.0
125,2,7,1,1,4,8,-0.0,-0.00033167,-0.00010301,8.867e-05
126,3,7,1,1,4,8,0.02783401,0.00402507,0.00852964,0.02180647
127,4,7,1,1,4,8,-0.05951691,0.02677863,0.06240973,-0.02360104
128,1,7,1,1,5,8,0.0,-0.0,0.0,-0.0
129,2,7,1,1,5,8,0.0,-0.0,-0.0,-0.0
130,3,7,1,1,5,8,0.0,-0.00014772,-0.00016258,-4.282e-05
131,4,7,1,1,5,8,0.02567436,0.01409746,-0.01266541,-0.00795794
132,1,8,1,1,1,7,0.03423066,-0.00277547,0.01299362,-0.00767166
133,2,8,1,1,1,7,0.01074586,-0.02757205,-0.00679831,0.00193657
134,3,8,1,1,1,7,1.43e-06,-0.00016196,0.0002,0.0001335
135,1,8,1,1,2,7,0.01417647,-0.00531773,0.00666633,0.00286813
136,2,8,1,1,2,7,0.02772494,-0.01075952,-0.0052936,-0.00917602
137,3,8,1,1,2,7,0.0055769,-0.0200394,-0.00869474,0.02901361
138,1,8,1,1,3,7,-0.0,-0.00011647,-3.617e-05,3.114e-05
139,2,8,1,1,3,7,0.00890583,0.00130936,0.00188347,0.00583134
140,3,8,1,1,3,7,0.01671935,-0.01463489,-0.01681744,0.01754114
141,1,8,1,1,1,8,0.02186833,-0.0382287,-0.00038471,-0.03079397
142,2,8,1,1,1,8,9.1e-07,-0.00056551,0.00054489,7.141e-05
143,3,8,1,1,1,8,-1e-08,-2.3e-07,1.86e-06,-2.3e-07
144,1,8,1,1,2,8,-0.02884081,-0.01023978,-0.01227711,-0.03607569
145,2,8,1,1,2,8,0.00848883,-0.02278469,-0.00721402,0.00195066
146,3,8,1,1,2,8,-2.2e-07,-0.00014231,0.00018106,0.00012654
