1 DO YOU WANT DETAILED OUTPUT? ... YES (0) OR NO (1)
1
0    RESULTS ONLY WILL BE GENERATED ...
0 ENTER THE NUMBER OF OSCILLATOR QUANTA NEXT, PLEASE
6
0 OSCILLATOR QUANTA NUMBER =   6
0   ... U(N) --> U(3) FOR N:  28
0 ENTER THE U(N) REPRESENTATION LABEL, ... N NUMBERS
2 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0   ... U(N) REPRESENTATION:   2  2  2  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0

0   ... DIM AND PATTERN NUM:  29926260  7621117
0   ... U(3) IRREP DATA ... 
0            ( LM, MU)       NUM      DIM       C2       C3
             ( 32,  2)         1     1782     1194    80730
             ( 29,  5)         1     3240     1113    66528
             ( 30,  3)         2     2170     1098    69498
             ( 31,  1)         1     1088     1089    71280
             ( 27,  6)         2     3430     1026    55566
             ( 28,  4)         5     2465     1008    58968
             ( 29,  2)         4     1485      996    61236
             ( 30,  0)         3      496      990    62370
             ( 24,  9)         1     4375      972    40500
             ( 25,  7)         4     3536      945    45360
             ( 26,  5)        10     2673      924    49140
             ( 27,  3)        11     1792      909    51840
             ( 28,  1)         8      899      900    53460
             ( 22, 10)         1     4301      900    30780
             ( 23,  8)         8     3564      870    35910
             ( 24,  6)        19     2800      846    40014
             ( 25,  4)        22     2015      828    43092
             ( 26,  2)        22     1215      816    45144
             ( 27,  0)         7      406      810    46170
             ( 20, 11)         2     4158      834    21870
             ( 21,  9)        14     3520      801    27216
             ( 22,  7)        32     2852      774    31590
             ( 23,  5)        43     2160      753    34992
             ( 24,  3)        45     1450      738    37422
             ( 25,  1)        27      728      729    38880
             ( 18, 12)         4     3952      774    13770
             ( 19, 10)        20     3410      738    19278
             ( 20,  8)        50     2835      708    23868
             ( 21,  6)        73     2233      684    27540
             ( 22,  4)        84     1610      666    30294
             ( 23,  2)        63      972      654    32130
             ( 24,  0)        27      325      648    33048
             ( 16, 13)         5     3689      720     6480
             ( 17, 11)        29     3240      681    12096
             ( 18,  9)        71     2755      648    16848
             ( 19,  7)       112     2240      621    20736
             ( 20,  5)       140     1701      600    23760
             ( 21,  3)       127     1144      585    25920
             ( 22,  1)        76      575      576    27216
             ( 14, 14)         7     3375      672        0
             ( 15, 12)        38     3016      630     5670
             ( 16, 10)        96     2618      594    10530
             ( 17,  8)       159     2187      564    14580
             ( 18,  6)       215     1729      540    17820
             ( 19,  4)       215     1250      522    20250
             ( 20,  2)       168      756      510    21870
             ( 21,  0)        59      253      504    22680
             ( 12, 15)         9     3016      630    -5670
             ( 13, 13)        46     2744      585        0
             ( 14, 11)       120     2430      546     4914
             ( 15,  9)       212     2080      513     9072
             ( 16,  7)       297     1700      486    12474
             ( 17,  5)       333     1296      465    15120
             ( 18,  3)       296      874      450    17010
             ( 19,  1)       173      440      441    18144
             ( 10, 16)         9     2618      594   -10530
             ( 11, 14)        52     2430      546    -4914
             ( 12, 12)       141     2197      504        0
             ( 13, 10)       258     1925      468     4212
