1 DO YOU WANT DETAILED OUTPUT? ... YES (0) OR NO (1)
1
0    RESULTS ONLY WILL BE GENERATED ...
0 ENTER THE NUMBER OF OSCILLATOR QUANTA NEXT, PLEASE
5
0 OSCILLATOR QUANTA NUMBER =   5
0   ... U(N) --> U(3) FOR N:  21
0 ENTER THE U(N) REPRESENTATION LABEL, ... N NUMBERS
2 2 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0   ... U(N) REPRESENTATION:   2  2  2  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
0   ... DIM AND PATTERN NUM:   3686760   989674
0   ... U(3) IRREP DATA ... 
0            ( LM, MU)       NUM      DIM       C2       C3
             ( 25,  2)         1     1131      760    40480
             ( 22,  5)         1     2001      700    30940
             ( 23,  3)         2     1344      685    33280
             ( 24,  1)         1      675      676    34684
             ( 20,  6)         2     2058      634    24010
             ( 21,  4)         5     1485      616    26656
             ( 22,  2)         4      897      604    28420
             ( 23,  0)         3      300      598    29302
             ( 17,  9)         1     2520      601    13984
             ( 18,  7)         4     2052      574    17710
             ( 19,  5)        10     1560      553    20608
             ( 20,  3)        11     1050      538    22678
             ( 21,  1)         8      528      529    23920
             ( 15, 10)         1     2376      550     8170
             ( 16,  8)         8     1989      520    12040
             ( 17,  6)        18     1575      496    15136
             ( 18,  4)        22     1140      478    17458
             ( 19,  2)        22      690      466    19006
             ( 20,  0)         7      231      460    19780
             ( 13, 11)         2     2184      505     3040
             ( 14,  9)        12     1875      472     7000
             ( 15,  7)        29     1536      445    10240
             ( 16,  5)        40     1173      424    12760
             ( 17,  3)        43      792      409    14560
             ( 18,  1)        27      399      400    15640
             ( 11, 12)         3     1950      466    -1406
             ( 12, 10)        16     1716      430     2590
             ( 13,  8)        41     1449      400     5920
             ( 14,  6)        63     1155      376     8584
             ( 15,  4)        75      840      358    10582
             ( 16,  2)        59      510      346    11914
             ( 17,  0)        26      171      340    12580
             (  9, 13)         4     1680      433    -5168
             ( 10, 11)        21     1518      394    -1190
             ( 11,  9)        53     1320      361     2176
             ( 12,  7)        88     1092      334     4930
             ( 13,  5)       116      840      313     7072
             ( 14,  3)       109      570      298     8602
             ( 15,  1)        68      288      289     9520
             (  7, 14)         4     1380      406    -8246
             (  8, 12)        23     1287      364    -4340
             (  9, 10)        62     1155      328     -992
             ( 10,  8)       110      990      298     1798
             ( 11,  6)       157      798      274     4030
             ( 12,  4)       166      585      256     5704
             ( 13,  2)       134      357      244     6820
             ( 14,  0)        47      120      238     7378
             (  5, 15)         4     1056      385   -10640
             (  6, 13)        22     1029      340    -6860
             (  7, 11)        65      960      301    -3584
             (  8,  9)       124      855      268     -812
             (  9,  7)       188      720      241     1456
             ( 10,  5)       224      561      220     3220
             ( 11,  3)       208      384      205     4480
             ( 12,  1)       123      195      196     5236
             (  3, 16)         3      714      370   -12350
             (  4, 14)        20      750      322    -8750
             (  5, 12)        60      741      280    -5600
             (  6, 10)       124      693      244    -2900
             (  7,  8)       205      612      214     -650
             (  8,  6)       264      504      190     1150
             (  9,  4)       278      375      172     2500
             ( 10,  2)       207      231      160     3400
             ( 11,  0)        82       78      154     3850
             (  1, 17)         2      360      361   -13376
             (  2, 15)        13      456      310   -10010
             (  3, 13)        46      504      265    -7040
             (  4, 11)       106      510      226    -4466
             (  5,  9)       192      480      193    -2288
             (  6,  7)       273      420      166     -506
             (  7,  5)       317      336      145      880
             (  8,  3)       283      234      130     1870
             (  9,  1)       169      120      121     2464
             (  0, 16)         4      153      304   -10640
             (  1, 14)        25      255      256    -7904
             (  2, 12)        72      312      214    -5510
             (  3, 10)       149      330      178    -3458
             (  4,  8)       240      315      148    -1748
             (  5,  6)       313      273      124     -380
             (  6,  4)       316      210      106      646
             (  7,  2)       245      132       94     1330
             (  8,  0)        88       45       88     1672
             (  0, 13)        25      105      208    -6032
             (  1, 11)        83      168      169    -4160
             (  2,  9)       165      195      136    -2576
             (  3,  7)       251      192      109    -1280
             (  4,  5)       296      165       88     -272
             (  5,  3)       270      120       73      448
             (  6,  1)       161       63       64      880
             (  0, 10)        59       66      130    -2990
             (  1,  8)       141       99      100    -1820
             (  2,  6)       210      105       76     -884
             (  3,  4)       235       90       58     -182
             (  4,  2)       182       60       46      286
             (  5,  0)        73       21       40      520
             (  0,  7)        76       36       70    -1190
             (  1,  5)       136       48       49     -560
             (  2,  3)       145       42       34     -110
             (  3,  1)        93       24       25      160
             (  0,  4)        54       15       28     -308
             (  1,  2)        65       15       16      -56
             (  2,  0)        26        6       10       70
             (  0,  1)        15        3        4      -20
